GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost
VN04_EHYD,1964,1725000,41170,.
VN04_EHYD,1995,1725000,41170,.
VN04_EHYD,2001,1725000,41170,.
VN04_EHYD,2007,1725000,41170,.
VN04_EHYD,2008,1725000,41170,.
VN04_EHYD,2009,1725000,41170,.
VN04_EHYD,2010,1725000,41170,.
VN04_EHYD,2011,1725000,41170,.
VN04_EHYD,2013,1725000,41170,.
VN04_EHYD,2014,1725000,41170,.
VN04_EHYD,2015,1725000,41170,.
VN04_EHYD,2016,1725000,41170,.
VN04_EHYD,2017,1725000,41170,.
VN04_EHYD,2018,1725000,41170,.
VN04_EOIL,2022,920000,12650,.
VN04_ESOL,2020,655500,11500,.
VN04_ESOL,2021,655500,11500,.
VN04_ESOL,2023,655500,11500,.
VN04_EWIN,2021,1725000,46000,.
VN04_EWIN,2023,1725000,46000,.
VN04_EWTE,2020,5980000,268755,.
VN04_IMP,2020,0,0,.
VN04_STG_PHS,2023,1023500,9568,.
VN05_EBGA,2023,3105000,106605,.
VN05_EBIO,2020,1840000,52325,.
VN05_ECCG,1999,793500,32775,.
VN05_ECCG,2001,793500,32775,.
VN05_ECCG,2003,793500,32775,.
VN05_ECCG,2004,793500,32775,.
VN05_ECCG,2005,793500,32775,.
VN05_ECCG,2007,793500,32775,.
VN05_ECCG,2008,793500,32775,.
VN05_ECCG,2010,793500,32775,.
VN05_ECOA,2004,1667500,44275,.
VN05_ECOA,2015,1667500,44275,.
VN05_ECOA,2017,1667500,44275,.
VN05_ECOA,2019,1667500,44275,.
VN05_ECOA,2021,1667500,44275,.
VN05_ECOA,2026,1667500,44275,.
VN05_EGEO,2023,5405000,22080,.
VN05_EHYD,1991,1725000,41170,.
VN05_EHYD,2004,1725000,41170,.
VN05_EHYD,2006,1725000,41170,.
VN05_EHYD,2011,1725000,41170,.
VN05_EHYD,2017,1725000,41170,.
VN05_EHYD,2018,1725000,41170,.
VN05_EOIL,1992,920000,12650,.
VN05_EOIL,2009,920000,12650,.
VN05_EOIL,2015,920000,12650,.
VN05_ESOL,2020,655500,11500,.
VN05_ESOL,2021,655500,11500,.
VN05_ESOL,2023,655500,11500,.
VN05_EWIN,2021,1725000,46000,.
VN05_EWIN,2023,1725000,46000,.
VN05_EWTE,2020,5980000,268755,.
VN05_IMP,2020,0,0,.
VN05_STG_PHS,2023,1023500,9568,.
VN00_EBGA,2050,2645000,92805,.
VN00_EBIO,2050,1610000,45540,.
VN00_ECCG,2050,782000,31740,.
VN00_ECCG_CCS,2050,1897500,41860,.
VN00_ECOA,2050,1633000,42780,.
VN00_ECOA_CCS,2050,2426500,89815,.
VN00_EGEO,2050,4945000,20240,.
VN00_EHYD,2050,1725000,38640,.
VN00_ENUC,2050,5175000,116955,.
VN00_EOIL,2050,727950,10350,.
VN00_EROR,2050,1725000,21252,.
VN00_ESOL,2050,483000,9200,.
VN00_EWIN,2050,1495000,36800,.
VN00_EWIN_OFF,2050,1955000,80610.4,.
VN00_EWTE,2050,5290000,231380,.
VN00_IMP,2050,0,0,.
VN00_STG_BTR,2050,180550,178.25,140000
VN00_STG_PHS,2050,1023500,9568,.
VN01_EBGA,2050,2645000,92805,.
VN01_EBIO,2050,1610000,45540,.
VN01_ECCG,2050,782000,31740,.
VN01_ECCG_CCS,2050,1897500,41860,.
VN01_ECOA,2050,1633000,42780,.
VN01_ECOA_CCS,2050,2426500,89815,.
VN01_EGEO,2050,4945000,20240,.
VN01_EHYD,2050,1725000,38640,.
VN01_ENUC,2050,5175000,116955,.
VN01_EOIL,2050,727950,10350,.
VN01_EROR,2050,1725000,21252,.
VN01_ESOL,2050,483000,9200,.
VN01_EWIN,2050,1495000,36800,.
VN01_EWIN_OFF,2050,1955000,80610.4,.
VN01_EWTE,2050,5290000,231380,.
VN01_IMP,2050,0,0,.
VN01_STG_BTR,2050,180550,178.25,140000
VN01_STG_PHS,2050,1023500,9568,.
VN02_EBGA,2050,2645000,92805,.
VN02_EBIO,2050,1610000,45540,.
VN02_ECCG,2050,782000,31740,.
VN02_ECCG_CCS,2050,1897500,41860,.
VN02_ECOA,2050,1633000,42780,.
VN02_ECOA_CCS,2050,2426500,89815,.
VN02_EGEO,2050,4945000,20240,.
VN02_EHYD,2050,1725000,38640,.
VN02_ENUC,2050,5175000,116955,.
VN02_EOIL,2050,727950,10350,.
VN02_EROR,2050,1725000,21252,.
VN02_ESOL,2050,483000,9200,.
VN02_EWIN,2050,1495000,36800,.
VN02_EWIN_OFF,2050,1955000,80610.4,.
VN02_EWTE,2050,5290000,231380,.
VN02_IMP,2050,0,0,.
VN02_STG_BTR,2050,180550,178.25,140000
VN02_STG_PHS,2050,1023500,9568,.
VN03_EBGA,2050,2645000,92805,.
VN03_EBIO,2050,1610000,45540,.
VN03_ECCG,2050,782000,31740,.
VN03_ECCG_CCS,2050,1897500,41860,.
VN03_ECOA,2050,1633000,42780,.
VN03_ECOA_CCS,2050,2426500,89815,.
VN03_EGEO,2050,4945000,20240,.
VN03_EHYD,2050,1725000,38640,.
VN03_ENUC,2050,5175000,116955,.
VN03_EOIL,2050,727950,10350,.
VN03_EROR,2050,1725000,21252,.
VN03_ESOL,2050,483000,9200,.
VN03_EWIN,2050,1495000,36800,.
VN03_EWIN_OFF,2050,1955000,80610.4,.
VN03_EWTE,2050,5290000,231380,.
VN03_IMP,2050,0,0,.
VN03_STG_BTR,2050,180550,178.25,140000
VN03_STG_PHS,2050,1023500,9568,.
VN04_EBGA,2050,2645000,92805,.
VN04_EBIO,2050,1610000,45540,.
VN04_ECCG,2050,782000,31740,.
VN04_ECCG_CCS,2050,1897500,41860,.
VN04_ECOA,2050,1633000,42780,.
VN04_ECOA_CCS,2050,2426500,89815,.
VN04_EGEO,2050,4945000,20240,.
VN04_EHYD,2050,1725000,38640,.
VN04_ENUC,2050,5175000,116955,.
VN04_EOIL,2050,727950,10350,.
VN04_EROR,2050,1725000,21252,.
VN04_ESOL,2050,483000,9200,.
VN04_EWIN,2050,1495000,36800,.
VN04_EWIN_OFF,2050,1955000,80610.4,.
VN04_EWTE,2050,5290000,231380,.
VN04_IMP,2050,0,0,.
VN04_STG_BTR,2050,180550,178.25,140000
VN04_STG_PHS,2050,1023500,9568,.
VN05_EBGA,2050,2645000,92805,.
VN05_EBIO,2050,1610000,45540,.
VN05_ECCG,2050,782000,31740,.
VN05_ECCG_CCS,2050,1897500,41860,.
VN05_ECOA,2050,1633000,42780,.
VN05_ECOA_CCS,2050,2426500,89815,.
VN05_EGEO,2050,4945000,20240,.
VN05_EHYD,2050,1725000,38640,.
VN05_ENUC,2050,5175000,116955,.
VN05_EOIL,2050,727950,10350,.
VN05_EROR,2050,1725000,21252,.
VN05_ESOL,2050,483000,9200,.
VN05_EWIN,2050,1495000,36800,.
VN05_EWIN_OFF,2050,1955000,80610.4,.
VN05_EWTE,2050,5290000,231380,.
VN05_IMP,2050,0,0,.
VN05_STG_BTR,2050,180550,178.25,140000
VN05_STG_PHS,2050,1023500,9568,.
